2D scrolling,Fixed / Flip-screen,Isometric,Free-roaming camera,Cinematic camera,platform,country
3.0,23.0,,,,1292 Advanced Programmable Video System,Germany
,,,,,1292 Advanced Programmable Video System,Japan
,,,1.0,,3DO,Germany
4.0,5.0,3.0,1.0,6.0,3DO,Japan
208.0,157.0,56.0,3.0,,Amiga,Germany
,,,,,Amiga,Japan
31.0,2.0,8.0,1.0,,Amiga CD32,Germany
,,,,,Amiga CD32,Japan
57.0,53.0,20.0,,,Amstrad CPC,Germany
,,,,,Amstrad CPC,Japan
7.0,2.0,,2.0,,Android,Germany
14.0,17.0,4.0,,1.0,Android,Japan
,,,,,Apple II,Germany
1.0,2.0,,,,Apple II,Japan
4.0,27.0,,,,Arcade,Germany
585.0,251.0,19.0,2.0,5.0,Arcade,Japan
,,,,,Arcadia 2001,Germany
,3.0,,,,Arcadia 2001,Japan
5.0,22.0,,,,Atari 2600,Germany
,,,,,Atari 2600,Japan
10.0,25.0,5.0,,,Atari 8-bit,Germany
,,,,,Atari 8-bit,Japan
97.0,110.0,28.0,,,Atari ST,Germany
,,,,,Atari ST,Japan
,1.0,,,,BBC Micro,Germany
,,,,,BBC Micro,Japan
,,,,,BREW,Germany
11.0,4.0,3.0,,,BREW,Japan
,,,,,Blu-ray Disc Player,Germany
,,,,,Blu-ray Disc Player,Japan
,,7.0,,,Browser,Germany
,1.0,,,,Browser,Japan
3.0,3.0,1.0,,,CD-i,Germany
,,,,,CD-i,Japan
5.0,3.0,,,,CDTV,Germany
,,,,,CDTV,Japan
,,,,,Casio Loopy,Germany
,,,,,Casio Loopy,Japan
,,,,,Casio PV-1000,Germany
2.0,5.0,,,,Casio PV-1000,Japan
,49.0,,,,Channel F,Germany
,1.0,,,,Channel F,Japan
,7.0,,,,ColecoVision,Germany
,,,,,ColecoVision,Japan
5.0,17.0,,,,"Commodore 16, Plus/4",Germany
,,,,,"Commodore 16, Plus/4",Japan
172.0,168.0,36.0,,,Commodore 64,Germany
,2.0,,,,Commodore 64,Japan
,1.0,,,,Commodore PET/CBM,Germany
3.0,61.0,2.0,,,Commodore PET/CBM,Japan
191.0,147.0,153.0,30.0,20.0,DOS,Germany
3.0,3.0,1.0,1.0,,DOS,Japan
,2.0,,,,DVD Player,Germany
,,,,,DVD Player,Japan
,131.0,,,,Dedicated console,Germany
1.0,86.0,,,,Dedicated console,Japan
,2.0,,,,Dedicated handheld,Germany
,43.0,,,,Dedicated handheld,Japan
1.0,1.0,2.0,,,DoJa,Germany
32.0,5.0,4.0,,2.0,DoJa,Japan
5.0,3.0,1.0,,5.0,Dreamcast,Germany
28.0,22.0,15.0,,7.0,Dreamcast,Japan
,1.0,,,,Electron,Germany
,,,,,Electron,Japan
,,,,,Epoch Cassette Vision,Germany
,1.0,,,,Epoch Cassette Vision,Japan
,,,,,Epoch Game Pocket Computer,Germany
,1.0,1.0,,,Epoch Game Pocket Computer,Japan
,,,,,Epoch Super Cassette Vision,Germany
3.0,1.0,,,,Epoch Super Cassette Vision,Japan
7.0,3.0,2.0,,,ExEn,Germany
,,,,,ExEn,Japan
,,,,,FM Towns,Germany
38.0,27.0,23.0,3.0,6.0,FM Towns,Japan
,,,,,FM-7,Germany
32.0,55.0,1.0,,,FM-7,Japan
,,,,,Fire OS,Germany
,,,,,Fire OS,Japan
1.0,12.0,,,,GIMINI,Germany
1.0,6.0,,,,GIMINI,Japan
53.0,7.0,9.0,,,Game Boy,Germany
110.0,60.0,5.0,,,Game Boy,Japan
43.0,8.0,35.0,,1.0,Game Boy Advance,Germany
86.0,42.0,61.0,,,Game Boy Advance,Japan
40.0,5.0,10.0,,,Game Boy Color,Germany
21.0,15.0,5.0,,,Game Boy Color,Japan
62.0,7.0,2.0,,,Game Gear,Germany
68.0,20.0,3.0,,,Game Gear,Japan
20.0,1.0,4.0,,3.0,GameCube,Germany
15.0,7.0,1.0,,4.0,GameCube,Japan
114.0,5.0,14.0,,,Genesis,Germany
202.0,25.0,22.0,2.0,,Genesis,Japan
,5.0,,,,Ideal-Computer,Germany
,,,,,Ideal-Computer,Japan
1.0,1.0,,,,Intellivision,Germany
,,,,,Intellivision,Japan
,5.0,,,,Interton Video 2000,Germany
,,,,,Interton Video 2000,Japan
15.0,3.0,9.0,,,J2ME,Germany
7.0,2.0,2.0,,,J2ME,Japan
,1.0,,,,Jaguar,Germany
,,,,,Jaguar,Japan
,,,,,LaserActive,Germany
,,,,1.0,LaserActive,Japan
7.0,1.0,8.0,9.0,1.0,Linux,Germany
