Anime / Manga,Full Motion Video (FMV),Video backdrop,Live action,Augmented reality,platform,country
,,,,,1292 Advanced Programmable Video System,Germany
,,,,,1292 Advanced Programmable Video System,Japan
,,,,,3DO,Germany
12.0,4.0,5.0,3.0,,3DO,Japan
8.0,,,,,Amiga,Germany
,,,,,Amiga,Japan
,,1.0,,,Amiga CD32,Germany
,,,,,Amiga CD32,Japan
2.0,,,,,Amstrad CPC,Germany
,,,,,Amstrad CPC,Japan
4.0,1.0,,,2.0,Android,Germany
59.0,1.0,,,1.0,Android,Japan
,,,,,Apple II,Germany
,,,,,Apple II,Japan
,,,,,Arcade,Germany
237.0,4.0,11.0,1.0,,Arcade,Japan
,,,,,Arcadia 2001,Germany
1.0,,,,,Arcadia 2001,Japan
,,,,,Atari 2600,Germany
,,,,,Atari 2600,Japan
,,,,,Atari 8-bit,Germany
,,,,,Atari 8-bit,Japan
5.0,,,,,Atari ST,Germany
,,,,,Atari ST,Japan
,,,,,BBC Micro,Germany
,,,,,BBC Micro,Japan
,,,,,BREW,Germany
9.0,,,,,BREW,Japan
,,,,,Blu-ray Disc Player,Germany
1.0,,,,,Blu-ray Disc Player,Japan
1.0,,,,,Browser,Germany
2.0,,,,,Browser,Japan
2.0,11.0,5.0,3.0,,CD-i,Germany
,,,,,CD-i,Japan
,,,,,CDTV,Germany
,,,,,CDTV,Japan
,,,,,Casio Loopy,Germany
2.0,,,,,Casio Loopy,Japan
,,,,,Casio PV-1000,Germany
,,,,,Casio PV-1000,Japan
,,,,,Channel F,Germany
,,,,,Channel F,Japan
,,,,,ColecoVision,Germany
,,,,,ColecoVision,Japan
,,,,,"Commodore 16, Plus/4",Germany
,,,,,"Commodore 16, Plus/4",Japan
2.0,,,,,Commodore 64,Germany
,,,,,Commodore 64,Japan
,,,,,Commodore PET/CBM,Germany
,,,,,Commodore PET/CBM,Japan
9.0,14.0,21.0,1.0,,DOS,Germany
6.0,,,,,DOS,Japan
,,,,,DVD Player,Germany
4.0,,,,,DVD Player,Japan
,,,,,Dedicated console,Germany
,,,,,Dedicated console,Japan
,,,,,Dedicated handheld,Germany
,,,,,Dedicated handheld,Japan
2.0,,,,,DoJa,Germany
54.0,,,,,DoJa,Japan
13.0,,,,,Dreamcast,Germany
139.0,3.0,,,,Dreamcast,Japan
,,,,,Electron,Germany
,,,,,Electron,Japan
,,,,,Epoch Cassette Vision,Germany
,,,,,Epoch Cassette Vision,Japan
,,,,,Epoch Game Pocket Computer,Germany
,,,,,Epoch Game Pocket Computer,Japan
,,,,,Epoch Super Cassette Vision,Germany
,,,,,Epoch Super Cassette Vision,Japan
4.0,,,,,ExEn,Germany
,,,,,ExEn,Japan
,,,,,FM Towns,Germany
267.0,16.0,3.0,,,FM Towns,Japan
,,,,,FM-7,Germany
47.0,,,,,FM-7,Japan
,,,,,Fire OS,Germany
,,,,,Fire OS,Japan
,,,,,GIMINI,Germany
,,,,,GIMINI,Japan
3.0,,,,,Game Boy,Germany
39.0,,,,,Game Boy,Japan
12.0,,,,,Game Boy Advance,Germany
112.0,,1.0,,,Game Boy Advance,Japan
6.0,1.0,1.0,,,Game Boy Color,Germany
29.0,,,,,Game Boy Color,Japan
9.0,,,,,Game Gear,Germany
28.0,,,,,Game Gear,Japan
12.0,,,,,GameCube,Germany
35.0,,,,,GameCube,Japan
12.0,,,,,Genesis,Germany
87.0,,,,,Genesis,Japan
,,,,,Ideal-Computer,Germany
,,,,,Ideal-Computer,Japan
,,,,,Intellivision,Germany
,,,,,Intellivision,Japan
,,,,,Interton Video 2000,Germany
,,,,,Interton Video 2000,Japan
4.0,,,,,J2ME,Germany
12.0,,,,,J2ME,Japan
,,,,,Jaguar,Germany
,,,,,Jaguar,Japan
,,,,,LaserActive,Germany
4.0,34.0,5.0,15.0,,LaserActive,Japan
1.0,,,,,Linux,Germany
,,,,,Linux,Japan
1.0,,,,,Lynx,Germany
,,,,,Lynx,Japan
1.0,,,,,MSX,Germany
138.0,2.0,2.0,,,MSX,Japan
5.0,6.0,1.0,1.0,,Macintosh,Germany
23.0,12.0,,1.0,,Macintosh,Japan
,,,,,Microvision,Germany
,,,,,Microvision,Japan
1.0,,,,,N-Gage,Germany
1.0,,,,,N-Gage,Japan
,,,,,NES,Germany
119.0,,,,,NES,Japan
,,,,,Neo Geo,Germany
39.0,,,,,Neo Geo,Japan
,,,,,Neo Geo CD,Germany
15.0,,,,,Neo Geo CD,Japan
,,,,,Neo Geo Pocket,Germany
3.0,,,,,Neo Geo Pocket,Japan
4.0,,,,,Neo Geo Pocket Color,Germany
13.0,,,,,Neo Geo Pocket Color,Japan
1.0,,,,,New Nintendo 3DS,Germany
10.0,,,,,New Nintendo 3DS,Japan
18.0,1.0,,,2.0,Nintendo 3DS,Germany
157.0,1.0,,1.0,5.0,Nintendo 3DS,Japan
5.0,,,,,Nintendo 64,Germany
23.0,,,,,Nintendo 64,Japan
29.0,,,,,Nintendo DS,Germany
161.0,,,1.0,,Nintendo DS,Japan
,,,,,Nintendo DSi,Germany
3.0,,,,,Nintendo DSi,Japan
22.0,,,,,Nintendo Switch,Germany
123.0,3.0,,1.0,,Nintendo Switch,Japan
,,,,,Odyssey,Germany
,,,,,Odyssey,Japan
,,,,,Odyssey 2,Germany
,,,,,Odyssey 2,Japan
,,,,,PC Booter,Germany
,,,,,PC Booter,Japan
,,,,,PC-6001,Germany
3.0,,,,,PC-6001,Japan
,,,,,PC-8000,Germany
1.0,,,,,PC-8000,Japan
,,,,,PC-88,Germany
149.0,,,,,PC-88,Japan
,,,,,PC-98,Germany
830.0,13.0,1.0,,,PC-98,Japan
,,,,,PC-FX,Germany
52.0,1.0,,,,PC-FX,Japan
12.0,,,,,PS Vita,Germany
286.0,,,2.0,1.0,PS Vita,Japan
12.0,,,,,PSP,Germany
382.0,9.0,1.0,,,PSP,Japan
,,,,,Palm OS,Germany
1.0,,,,,Palm OS,Japan
,,,,,Pippin,Germany
1.0,1.0,,,,Pippin,Japan
36.0,,2.0,,,PlayStation,Germany
657.0,29.0,10.0,7.0,,PlayStation,Japan
57.0,,1.0,,,PlayStation 2,Germany
609.0,15.0,1.0,3.0,,PlayStation 2,Japan
25.0,,,,,PlayStation 3,Germany
256.0,1.0,,3.0,,PlayStation 3,Japan
24.0,,,1.0,,PlayStation 4,Germany
184.0,3.0,,4.0,,PlayStation 4,Japan
,,,,,Playdia,Germany
1.0,,,,,Playdia,Japan
,,,,,Pokémon Mini,Germany
9.0,,,,,Pokémon Mini,Japan
,1.0,1.0,,,SEGA 32X,Germany
,,,,,SEGA 32X,Japan
7.0,7.0,9.0,,,SEGA CD,Germany
38.0,9.0,10.0,,,SEGA CD,Japan
10.0,,,,,SEGA Master System,Germany
7.0,,,,,SEGA Master System,Japan
,,,,,SEGA Pico,Germany
3.0,,,,,SEGA Pico,Japan
4.0,1.0,,,,SEGA Saturn,Germany
228.0,24.0,6.0,5.0,,SEGA Saturn,Japan
1.0,,,,,SG-1000,Germany
1.0,,,,,SG-1000,Japan
6.0,,,,,SNES,Germany
197.0,2.0,,,,SNES,Japan
,,,,,Sharp MZ-80B/2000/2500,Germany
1.0,,,,,Sharp MZ-80B/2000/2500,Japan
,,,,,Sharp MZ-80K/700/800/1500,Germany
,,,,,Sharp MZ-80K/700/800/1500,Japan
,,,,,Sharp X1,Germany
35.0,1.0,1.0,,,Sharp X1,Japan
,,,,,Sharp X68000,Germany
207.0,13.0,1.0,,,Sharp X68000,Japan
,,,,,Sharp Zaurus,Germany
,,,,,Sharp Zaurus,Japan
,,,,,Sinclair QL,Germany
,,,,,Sinclair QL,Japan
,,,,,Sord M5,Germany
,,,,,Sord M5,Japan
,,,,,Spectravideo,Germany
