Story / Mission,Map / Level,Other,Item,Enemy,Player Unit,Game Mode,Extras,Customization / Outfit / Skin,Currency,platform,country
,,,,,,,,,,1292 Advanced Programmable Video System,Germany
,,,,,,,,,,1292 Advanced Programmable Video System,Japan
,,,,,,,,,,3DO,Germany
,,,,,,,,,,3DO,Japan
5.0,6.0,7.0,1.0,,1.0,1.0,1.0,,,Amiga,Germany
,,,,,,,,,,Amiga,Japan
,,,,,,,,,,Amiga CD32,Germany
,,,,,,,,,,Amiga CD32,Japan
,,,,,,,,,,Amstrad CPC,Germany
,,,,,,,,,,Amstrad CPC,Japan
,,,,,,,,,,Android,Germany
1.0,,,1.0,,,,,,,Android,Japan
,,,,,,,,,,Apple II,Germany
,,,,,,,,,,Apple II,Japan
,,,,,,,,,,Arcade,Germany
,,,,,,,,,,Arcade,Japan
,,,,,,,,,,Arcadia 2001,Germany
,,,,,,,,,,Arcadia 2001,Japan
,,,,,,,,,,Atari 2600,Germany
,,,,,,,,,,Atari 2600,Japan
,,,,,,,,,,Atari 8-bit,Germany
,,,,,,,,,,Atari 8-bit,Japan
,,,,,,,,,,Atari ST,Germany
,,,,,,,,,,Atari ST,Japan
,,,,,,,,,,BBC Micro,Germany
,,,,,,,,,,BBC Micro,Japan
,,,,,,,,,,BREW,Germany
11.0,,2.0,1.0,1.0,,,,,,BREW,Japan
,,,,,,,,,,Blu-ray Disc Player,Germany
,,,,,,,,,,Blu-ray Disc Player,Japan
,,,,,,,,,,Browser,Germany
,,,,,,,,,,Browser,Japan
,,,,,,,,,,CD-i,Germany
,,,,,,,,,,CD-i,Japan
,,,,,,,,,,CDTV,Germany
,,,,,,,,,,CDTV,Japan
,,,,,,,,,,Casio Loopy,Germany
,,,,,,,,,,Casio Loopy,Japan
,,,,,,,,,,Casio PV-1000,Germany
,,,,,,,,,,Casio PV-1000,Japan
,,,,,,,,,,Channel F,Germany
,,,,,,,,,,Channel F,Japan
,,,,,,,,,,ColecoVision,Germany
,,,,,,,,,,ColecoVision,Japan
,,,,,,,,,,"Commodore 16, Plus/4",Germany
,,,,,,,,,,"Commodore 16, Plus/4",Japan
,,,,,,,,,,Commodore 64,Germany
,,,,,,,,,,Commodore 64,Japan
,,,,,,,,,,Commodore PET/CBM,Germany
,,,,,,,,,,Commodore PET/CBM,Japan
47.0,57.0,46.0,3.0,8.0,29.0,1.0,14.0,6.0,,DOS,Germany
,,,,,,,,,,DOS,Japan
,,,,,,,,,,DVD Player,Germany
,,,,,,,,,,DVD Player,Japan
,,,,,,,,,,Dedicated console,Germany
,,,,,,,,,,Dedicated console,Japan
,,,,,,,,,,Dedicated handheld,Germany
,,,,,,,,,,Dedicated handheld,Japan
,,,,,,,,,,DoJa,Germany
11.0,,2.0,1.0,1.0,,,,,,DoJa,Japan
,,,,,,,,,,Dreamcast,Germany
,,,,,,,,,,Dreamcast,Japan
,,,,,,,,,,Electron,Germany
,,,,,,,,,,Electron,Japan
,,,,,,,,,,Epoch Cassette Vision,Germany
,,,,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,,,Epoch Game Pocket Computer,Germany
,,,,,,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,,,Epoch Super Cassette Vision,Germany
,,,,,,,,,,Epoch Super Cassette Vision,Japan
,,,,,,,,,,ExEn,Germany
,,,,,,,,,,ExEn,Japan
,,,,,,,,,,FM Towns,Germany
1.0,1.0,1.0,,,,,1.0,,,FM Towns,Japan
,,,,,,,,,,FM-7,Germany
1.0,,,,,,,,,,FM-7,Japan
,,,,,,,,,,Fire OS,Germany
,,,,,,,,,,Fire OS,Japan
,,,,,,,,,,GIMINI,Germany
,,,,,,,,,,GIMINI,Japan
,,,,,,,,,,Game Boy,Germany
,,,,,,,,,,Game Boy,Japan
,,,,,,,,,,Game Boy Advance,Germany
,,,,,,,,,,Game Boy Advance,Japan
,,,,,,,,,,Game Boy Color,Germany
,,,,,,,,,,Game Boy Color,Japan
,,,,,,,,,,Game Gear,Germany
,,,,,,,,,,Game Gear,Japan
,,,,,,,,,,GameCube,Germany
,,,,,,,,,,GameCube,Japan
,,,,,,,,,,Genesis,Germany
,,,,,,,,,,Genesis,Japan
,,,,,,,,,,Ideal-Computer,Germany
,,,,,,,,,,Ideal-Computer,Japan
,,,,,,,,,,Intellivision,Germany
,,,,,,,,,,Intellivision,Japan
,,,,,,,,,,Interton Video 2000,Germany
,,,,,,,,,,Interton Video 2000,Japan
,,,,,,,,,,J2ME,Germany
11.0,,2.0,1.0,1.0,,,,,,J2ME,Japan
,,,,,,,,,,Jaguar,Germany
,,,,,,,,,,Jaguar,Japan
,,,,,,,,,,LaserActive,Germany
,,,,,,,,,,LaserActive,Japan
1.0,1.0,,,,1.0,,,,,Linux,Germany
,,,,,,,,,,Linux,Japan
,,,,,,,,,,Lynx,Germany
,,,,,,,,,,Lynx,Japan
,1.0,,,,,,,,,MSX,Germany
1.0,,,,,,,,,,MSX,Japan
19.0,29.0,28.0,29.0,7.0,11.0,7.0,1.0,19.0,,Macintosh,Germany
,,,,,,,,,,Macintosh,Japan
,,,,,,,,,,Microvision,Germany
,,,,,,,,,,Microvision,Japan
,,,,,,,,,,N-Gage,Germany
,,,,,,,,,,N-Gage,Japan
,,,,,,,,,,NES,Germany
,1.0,,,,,,,,,NES,Japan
,,,,,,,,,,Neo Geo,Germany
,,,,,,,,,,Neo Geo,Japan
,,,,,,,,,,Neo Geo CD,Germany
,,,,,,,,,,Neo Geo CD,Japan
,,,,,,,,,,Neo Geo Pocket,Germany
,,,,,,,,,,Neo Geo Pocket,Japan
,,,,,,,,,,Neo Geo Pocket Color,Germany
,,,,,,,,,,Neo Geo Pocket Color,Japan
3.0,1.0,3.0,3.0,,3.0,,,3.0,,New Nintendo 3DS,Germany
,,,,,,,,,,New Nintendo 3DS,Japan
,,,1.0,,5.0,,,,,Nintendo 3DS,Germany
,4.0,8.0,4.0,,,,,,,Nintendo 3DS,Japan
,,,,,,,,,,Nintendo 64,Germany
1.0,1.0,1.0,,,,,1.0,1.0,,Nintendo 64,Japan
,,,,,,,,,,Nintendo DS,Germany
,1.0,,,,,,,,,Nintendo DS,Japan
,,,,,,,,,,Nintendo DSi,Germany
,,,,,,,,,,Nintendo DSi,Japan
3.0,1.0,3.0,3.0,,3.0,,,3.0,,Nintendo Switch,Germany
17.0,5.0,19.0,51.0,1.0,22.0,,,130.0,1.0,Nintendo Switch,Japan
,,,,,,,,,,Odyssey,Germany
,,,,,,,,,,Odyssey,Japan
,,,,,,,,,,Odyssey 2,Germany
,,,,,,,,,,Odyssey 2,Japan
,,,,,,,,,,PC Booter,Germany
,,,,,,,,,,PC Booter,Japan
,,,,,,,,,,PC-6001,Germany
,,,,,,,,,,PC-6001,Japan
,,,,,,,,,,PC-8000,Germany
,,,,,,,,,,PC-8000,Japan
,,,,,,,,,,PC-88,Germany
1.0,,,,,,,,,,PC-88,Japan
,,,,,,,,,,PC-98,Germany
5.0,3.0,1.0,,,2.0,,2.0,,,PC-98,Japan
,,,,,,,,,,PC-FX,Germany
,,,,,,,,,,PC-FX,Japan
2.0,,,2.0,,3.0,,,2.0,,PS Vita,Germany
19.0,10.0,37.0,45.0,,31.0,,,108.0,,PS Vita,Japan
,,,,,,,,,,PSP,Germany
,,2.0,,,,,,4.0,,PSP,Japan
,,,,,,,,,,Palm OS,Germany
,,,,,,,,,,Palm OS,Japan
,,,,,,,,,,Pippin,Germany
,,,,,,,,,,Pippin,Japan
1.0,,,,,,,,,,PlayStation,Germany
,4.0,,,,,,,,,PlayStation,Japan
1.0,,1.0,1.0,1.0,,,,1.0,,PlayStation 2,Germany
