Physical Extras,Digital Extras,Extra Content/Game,platform,country
,,,1292 Advanced Programmable Video System,Germany
,,,1292 Advanced Programmable Video System,Japan
,,,3DO,Germany
,,,3DO,Japan
,,2.0,Amiga,Germany
,,,Amiga,Japan
,,,Amiga CD32,Germany
,,,Amiga CD32,Japan
,,,Amstrad CPC,Germany
,,,Amstrad CPC,Japan
,,1.0,Android,Germany
,,,Android,Japan
,,,Apple II,Germany
,,,Apple II,Japan
,,,Arcade,Germany
,,,Arcade,Japan
,,,Arcadia 2001,Germany
,,,Arcadia 2001,Japan
,,,Atari 2600,Germany
,,,Atari 2600,Japan
,,,Atari 8-bit,Germany
,,,Atari 8-bit,Japan
,,,Atari ST,Germany
,,,Atari ST,Japan
,,,BBC Micro,Germany
,,,BBC Micro,Japan
,,,BREW,Germany
,,,BREW,Japan
,,,Blu-ray Disc Player,Germany
,,,Blu-ray Disc Player,Japan
,,,Browser,Germany
,,,Browser,Japan
,,,CD-i,Germany
,,,CD-i,Japan
,,,CDTV,Germany
,,,CDTV,Japan
,,,Casio Loopy,Germany
,,,Casio Loopy,Japan
,,,Casio PV-1000,Germany
,,,Casio PV-1000,Japan
,,,Channel F,Germany
,,,Channel F,Japan
,,,ColecoVision,Germany
,,,ColecoVision,Japan
,,,"Commodore 16, Plus/4",Germany
,,,"Commodore 16, Plus/4",Japan
,,1.0,Commodore 64,Germany
,,,Commodore 64,Japan
,,,Commodore PET/CBM,Germany
,,,Commodore PET/CBM,Japan
10.0,2.0,12.0,DOS,Germany
,,,DOS,Japan
,,,DVD Player,Germany
,,,DVD Player,Japan
,,,Dedicated console,Germany
,,,Dedicated console,Japan
,,,Dedicated handheld,Germany
,,,Dedicated handheld,Japan
,,,DoJa,Germany
,,,DoJa,Japan
,,,Dreamcast,Germany
9.0,,,Dreamcast,Japan
,,,Electron,Germany
,,,Electron,Japan
,,,Epoch Cassette Vision,Germany
,,,Epoch Cassette Vision,Japan
,,,Epoch Game Pocket Computer,Germany
,,,Epoch Game Pocket Computer,Japan
,,,Epoch Super Cassette Vision,Germany
,,,Epoch Super Cassette Vision,Japan
,,,ExEn,Germany
,,,ExEn,Japan
,,,FM Towns,Germany
,,,FM Towns,Japan
,,,FM-7,Germany
,,,FM-7,Japan
,,,Fire OS,Germany
,,,Fire OS,Japan
,,,GIMINI,Germany
,,,GIMINI,Japan
,,,Game Boy,Germany
,,,Game Boy,Japan
,,,Game Boy Advance,Germany
1.0,1.0,,Game Boy Advance,Japan
,,,Game Boy Color,Germany
,,,Game Boy Color,Japan
,,,Game Gear,Germany
,,,Game Gear,Japan
,,1.0,GameCube,Germany
1.0,,,GameCube,Japan
,,,Genesis,Germany
,,1.0,Genesis,Japan
,,,Ideal-Computer,Germany
,,,Ideal-Computer,Japan
,,,Intellivision,Germany
,,,Intellivision,Japan
,,,Interton Video 2000,Germany
,,,Interton Video 2000,Japan
,,,J2ME,Germany
,,,J2ME,Japan
,,,Jaguar,Germany
,,,Jaguar,Japan
,,,LaserActive,Germany
,,,LaserActive,Japan
8.0,6.0,5.0,Linux,Germany
,,,Linux,Japan
,,,Lynx,Germany
,,,Lynx,Japan
,,,MSX,Germany
,,,MSX,Japan
22.0,9.0,10.0,Macintosh,Germany
,,,Macintosh,Japan
,,,Microvision,Germany
,,,Microvision,Japan
,,,N-Gage,Germany
,,,N-Gage,Japan
,,,NES,Germany
,,2.0,NES,Japan
,,,Neo Geo,Germany
,,,Neo Geo,Japan
,,,Neo Geo CD,Germany
,,,Neo Geo CD,Japan
,,,Neo Geo Pocket,Germany
,,,Neo Geo Pocket,Japan
,,,Neo Geo Pocket Color,Germany
1.0,,,Neo Geo Pocket Color,Japan
,,,New Nintendo 3DS,Germany
,,,New Nintendo 3DS,Japan
12.0,1.0,3.0,Nintendo 3DS,Germany
12.0,4.0,4.0,Nintendo 3DS,Japan
1.0,,,Nintendo 64,Germany
,,,Nintendo 64,Japan
,,,Nintendo DS,Germany
6.0,1.0,,Nintendo DS,Japan
,,,Nintendo DSi,Germany
,,,Nintendo DSi,Japan
10.0,1.0,2.0,Nintendo Switch,Germany
6.0,2.0,4.0,Nintendo Switch,Japan
,,,Odyssey,Germany
,,,Odyssey,Japan
,,,Odyssey 2,Germany
,,,Odyssey 2,Japan
,,,PC Booter,Germany
,,,PC Booter,Japan
,,,PC-6001,Germany
,,,PC-6001,Japan
,,,PC-8000,Germany
,,,PC-8000,Japan
,,,PC-88,Germany
,,,PC-88,Japan
,,,PC-98,Germany
,,2.0,PC-98,Japan
,,,PC-FX,Germany
,,,PC-FX,Japan
5.0,,1.0,PS Vita,Germany
42.0,4.0,5.0,PS Vita,Japan
,,,PSP,Germany
45.0,1.0,2.0,PSP,Japan
,,,Palm OS,Germany
,,,Palm OS,Japan
,,,Pippin,Germany
,,,Pippin,Japan
,,,PlayStation,Germany
27.0,1.0,,PlayStation,Japan
2.0,2.0,2.0,PlayStation 2,Germany
85.0,2.0,2.0,PlayStation 2,Japan
20.0,11.0,20.0,PlayStation 3,Germany
26.0,2.0,3.0,PlayStation 3,Japan
29.0,15.0,21.0,PlayStation 4,Germany
19.0,8.0,17.0,PlayStation 4,Japan
,,,Playdia,Germany
,,,Playdia,Japan
,,,Pokémon Mini,Germany
,,,Pokémon Mini,Japan
,,,SEGA 32X,Germany
,,,SEGA 32X,Japan
,,,SEGA CD,Germany
,,,SEGA CD,Japan
,,,SEGA Master System,Germany
,,,SEGA Master System,Japan
,,,SEGA Pico,Germany
,,,SEGA Pico,Japan
,,,SEGA Saturn,Germany
17.0,1.0,,SEGA Saturn,Japan
,,,SG-1000,Germany
,,,SG-1000,Japan
,,,SNES,Germany
1.0,,,SNES,Japan
,,,Sharp MZ-80B/2000/2500,Germany
,,,Sharp MZ-80B/2000/2500,Japan
,,,Sharp MZ-80K/700/800/1500,Germany
,,,Sharp MZ-80K/700/800/1500,Japan
,,,Sharp X1,Germany
,,,Sharp X1,Japan
,,,Sharp X68000,Germany
,,,Sharp X68000,Japan
,,,Sharp Zaurus,Germany
,,,Sharp Zaurus,Japan
,,,Sinclair QL,Germany
,,,Sinclair QL,Japan
,,,Sord M5,Germany
,,,Sord M5,Japan
,,,Spectravideo,Germany
,,,Spectravideo,Japan
,,,SuperGrafx,Germany
,,,SuperGrafx,Japan
,,,Symbian,Germany
,,,Symbian,Japan
,,,Tele-Spiel ES-2201,Germany
,,,Tele-Spiel ES-2201,Japan
,,,Tomy Tutor,Germany
,,,Tomy Tutor,Japan
,,,TurboGrafx CD,Germany
,,,TurboGrafx CD,Japan
,,,TurboGrafx-16,Germany
,,,TurboGrafx-16,Japan
,,,V.Smile,Germany
,,,V.Smile,Japan
,,,VIC-20,Germany
,,,VIC-20,Japan
,,,Vectrex,Germany
,,,Vectrex,Japan
,,,Virtual Boy,Germany
,,,Virtual Boy,Japan
,,,Wang 2200,Germany
,,,Wang 2200,Japan
2.0,,1.0,Wii,Germany
4.0,,1.0,Wii,Japan
16.0,1.0,4.0,Wii U,Germany
3.0,,2.0,Wii U,Japan
191.0,99.0,148.0,Windows,Germany
12.0,3.0,5.0,Windows,Japan
1.0,,1.0,Windows 3.x,Germany
,,,Windows 3.x,Japan
,,,Windows Mobile,Germany
,,,Windows Mobile,Japan
,,,Windows Phone,Germany
,,,Windows Phone,Japan
,,,WonderSwan,Germany
,,,WonderSwan,Japan
,,,WonderSwan Color,Germany
,,,WonderSwan Color,Japan
,,,XaviXPORT,Germany
,,,XaviXPORT,Japan
,1.0,1.0,Xbox,Germany
,1.0,,Xbox,Japan
26.0,13.0,25.0,Xbox 360,Germany
9.0,,1.0,Xbox 360,Japan
8.0,3.0,11.0,Xbox One,Germany
