1st-person,Side view,Behind view,3rd-person (Other),Top-down,Bird's-eye view,Text-based / Spreadsheet,Audio game,platform,country
,13.0,,,10.0,,4.0,,1292 Advanced Programmable Video System,Germany
,,,,,,,,1292 Advanced Programmable Video System,Japan
8.0,,2.0,,1.0,1.0,,,3DO,Germany
32.0,9.0,9.0,9.0,10.0,1.0,,,3DO,Japan
172.0,327.0,52.0,66.0,299.0,39.0,,,Amiga,Germany
,,,,,,,,Amiga,Japan
10.0,47.0,7.0,6.0,15.0,9.0,,,Amiga CD32,Germany
,,,,,,,,Amiga CD32,Japan
26.0,100.0,17.0,1.0,67.0,16.0,2.0,,Amstrad CPC,Germany
,,,,,,,,Amstrad CPC,Japan
4.0,4.0,1.0,3.0,4.0,5.0,,,Android,Germany
32.0,11.0,3.0,13.0,10.0,12.0,,,Android,Japan
,,,,,,,,Apple II,Germany
1.0,,,,3.0,,,,Apple II,Japan
5.0,11.0,,,19.0,2.0,2.0,,Arcade,Germany
159.0,678.0,125.0,93.0,388.0,77.0,,,Arcade,Japan
,,,,,,,,Arcadia 2001,Germany
,3.0,,,1.0,,,,Arcadia 2001,Japan
1.0,17.0,1.0,,7.0,3.0,,,Atari 2600,Germany
,,,,,,,,Atari 2600,Japan
9.0,32.0,2.0,2.0,24.0,2.0,1.0,,Atari 8-bit,Germany
,,,,,,,,Atari 8-bit,Japan
113.0,159.0,33.0,22.0,190.0,21.0,1.0,,Atari ST,Germany
,,,,,,,,Atari ST,Japan
,1.0,,,1.0,,,,BBC Micro,Germany
,,,,,,,,BBC Micro,Japan
,,,,,,,,BREW,Germany
5.0,5.0,5.0,3.0,10.0,8.0,1.0,,BREW,Japan
,,,,,,,,Blu-ray Disc Player,Germany
1.0,,,,,,,,Blu-ray Disc Player,Japan
2.0,1.0,,2.0,2.0,3.0,,,Browser,Germany
1.0,1.0,,1.0,,,,,Browser,Japan
20.0,13.0,2.0,8.0,15.0,,,,CD-i,Germany
,,,,1.0,,,,CD-i,Japan
3.0,5.0,,1.0,7.0,,,,CDTV,Germany
,,,,,,,,CDTV,Japan
,,,,,,,,Casio Loopy,Germany
,,,2.0,,,,,Casio Loopy,Japan
,,,,,,,,Casio PV-1000,Germany
1.0,5.0,,,3.0,1.0,,,Casio PV-1000,Japan
1.0,12.0,,,33.0,2.0,5.0,,Channel F,Germany
,,,,1.0,,,,Channel F,Japan
,5.0,,,3.0,,,,ColecoVision,Germany
,,,,,,,,ColecoVision,Japan
8.0,22.0,,2.0,17.0,,1.0,,"Commodore 16, Plus/4",Germany
,,,,,,,,"Commodore 16, Plus/4",Japan
75.0,313.0,41.0,17.0,220.0,40.0,5.0,,Commodore 64,Germany
,1.0,,,1.0,,,,Commodore 64,Japan
,,,,2.0,,,,Commodore PET/CBM,Germany
6.0,22.0,,,49.0,2.0,11.0,,Commodore PET/CBM,Japan
600.0,316.0,86.0,320.0,404.0,141.0,5.0,,DOS,Germany
6.0,6.0,,2.0,7.0,2.0,,,DOS,Japan
,,,,,,,,DVD Player,Germany
4.0,,,,,,,,DVD Player,Japan
38.0,3.0,1.0,,131.0,,,,Dedicated console,Germany
21.0,3.0,1.0,,86.0,,,,Dedicated console,Japan
,,,,,,,,Dedicated handheld,Germany
,24.0,,,3.0,,,,Dedicated handheld,Japan
,7.0,,,1.0,,,,DoJa,Germany
19.0,35.0,9.0,6.0,14.0,13.0,,,DoJa,Japan
29.0,8.0,31.0,37.0,5.0,8.0,,,Dreamcast,Germany
112.0,39.0,38.0,87.0,33.0,22.0,,,Dreamcast,Japan
,1.0,,,,,,,Electron,Germany
,,,,,,,,Electron,Japan
,,,,,,,,Epoch Cassette Vision,Germany
,1.0,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,Epoch Game Pocket Computer,Germany
,,,,2.0,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,Epoch Super Cassette Vision,Germany
,4.0,1.0,,1.0,,,,Epoch Super Cassette Vision,Japan
3.0,20.0,2.0,3.0,10.0,,,,ExEn,Germany
,,,,,,,,ExEn,Japan
,,,,,,,,FM Towns,Germany
231.0,46.0,14.0,17.0,128.0,21.0,,,FM Towns,Japan
,,,,,,,,FM-7,Germany
78.0,51.0,1.0,2.0,79.0,10.0,19.0,,FM-7,Japan
,2.0,,1.0,,,,,Fire OS,Germany
,,,,,,,,Fire OS,Japan
9.0,1.0,,,12.0,,,,GIMINI,Germany
4.0,1.0,,,6.0,,,,GIMINI,Japan
2.0,62.0,4.0,6.0,14.0,10.0,,,Game Boy,Germany
21.0,151.0,7.0,18.0,112.0,27.0,,,Game Boy,Japan
6.0,62.0,13.0,17.0,32.0,23.0,,,Game Boy Advance,Germany
23.0,139.0,14.0,47.0,88.0,30.0,,1.0,Game Boy Advance,Japan
5.0,45.0,7.0,7.0,26.0,26.0,,,Game Boy Color,Germany
27.0,31.0,7.0,11.0,52.0,12.0,,,Game Boy Color,Japan
5.0,67.0,9.0,,11.0,6.0,,,Game Gear,Germany
16.0,80.0,12.0,2.0,50.0,7.0,,,Game Gear,Japan
56.0,11.0,80.0,78.0,9.0,39.0,,,GameCube,Germany
19.0,20.0,34.0,83.0,16.0,29.0,,,GameCube,Japan
11.0,102.0,14.0,1.0,34.0,23.0,,,Genesis,Germany
41.0,201.0,39.0,4.0,115.0,51.0,,,Genesis,Japan
,,,,5.0,,,,Ideal-Computer,Germany
,,,,,,,,Ideal-Computer,Japan
,,,,2.0,,,,Intellivision,Germany
,,,,,,,,Intellivision,Japan
,,,,5.0,,,,Interton Video 2000,Germany
,,,,,,,,Interton Video 2000,Japan
8.0,28.0,2.0,3.0,14.0,4.0,,,J2ME,Germany
6.0,4.0,1.0,3.0,5.0,6.0,,,J2ME,Japan
2.0,,,1.0,1.0,,,,Jaguar,Germany
,,,,,,,,Jaguar,Japan
,,,,,,,,LaserActive,Germany
12.0,,2.0,11.0,,,,,LaserActive,Japan
16.0,6.0,7.0,21.0,5.0,12.0,1.0,,Linux,Germany
,,,,,,,,Linux,Japan
,8.0,2.0,,5.0,1.0,,,Lynx,Germany
,,,,,,,,Lynx,Japan
4.0,71.0,13.0,5.0,51.0,10.0,,,MSX,Germany
158.0,145.0,23.0,8.0,218.0,29.0,,,MSX,Japan
119.0,30.0,44.0,95.0,30.0,63.0,4.0,,Macintosh,Germany
28.0,9.0,1.0,7.0,9.0,3.0,3.0,,Macintosh,Japan
,,,,,,,,Microvision,Germany
,,,,,,,,Microvision,Japan
4.0,5.0,10.0,1.0,3.0,5.0,,,N-Gage,Germany
,,,,,1.0,,,N-Gage,Japan
,28.0,1.0,,1.0,5.0,,,NES,Germany
116.0,400.0,47.0,6.0,281.0,98.0,,,NES,Japan
,,,,,,,,Neo Geo,Germany
4.0,73.0,4.0,,13.0,12.0,,,Neo Geo,Japan
,,,,,,,,Neo Geo CD,Germany
5.0,29.0,3.0,,10.0,9.0,,,Neo Geo CD,Japan
,,,,,,,,Neo Geo Pocket,Germany
1.0,2.0,,,4.0,,,,Neo Geo Pocket,Japan
,4.0,,,1.0,,,,Neo Geo Pocket Color,Germany
4.0,11.0,1.0,1.0,15.0,,,,Neo Geo Pocket Color,Japan
2.0,5.0,2.0,,1.0,1.0,,,New Nintendo 3DS,Germany
,14.0,2.0,3.0,6.0,2.0,,,New Nintendo 3DS,Japan
14.0,25.0,6.0,25.0,20.0,15.0,,,Nintendo 3DS,Germany
59.0,225.0,40.0,86.0,101.0,78.0,,,Nintendo 3DS,Japan
36.0,12.0,59.0,24.0,5.0,23.0,,,Nintendo 64,Germany
27.0,21.0,44.0,30.0,8.0,18.0,1.0,,Nintendo 64,Japan
34.0,39.0,10.0,76.0,39.0,32.0,2.0,,Nintendo DS,Germany
85.0,80.0,10.0,108.0,76.0,57.0,,,Nintendo DS,Japan
1.0,,,2.0,1.0,,,,Nintendo DSi,Germany
,23.0,2.0,7.0,11.0,1.0,,,Nintendo DSi,Japan
47.0,117.0,30.0,46.0,32.0,70.0,2.0,2.0,Nintendo Switch,Germany
92.0,196.0,58.0,77.0,58.0,81.0,,,Nintendo Switch,Japan
,,,,1.0,,,,Odyssey,Germany
,,,,,,,,Odyssey,Japan
1.0,4.0,,,6.0,4.0,,,Odyssey 2,Germany
,,,,,,,,Odyssey 2,Japan
,2.0,1.0,,4.0,,,,PC Booter,Germany
,,,,,,,,PC Booter,Japan
,,,,,,,,PC-6001,Germany
6.0,18.0,2.0,,19.0,2.0,3.0,,PC-6001,Japan
,,,,,,,,PC-8000,Germany
2.0,13.0,,,6.0,,1.0,,PC-8000,Japan
,,,,,,,,PC-88,Germany
178.0,112.0,9.0,5.0,173.0,15.0,15.0,,PC-88,Japan
,,,,,,,,PC-98,Germany
714.0,94.0,16.0,35.0,416.0,37.0,12.0,,PC-98,Japan
,,,,,,,,PC-FX,Germany
