Visual Novel,Shooter,Platform,Puzzle elements,Metroidvania,Vehicle Simulator,Arcade,Tile Matching Puzzle,Falling Block Puzzle,Cards / Tiles,Fighting,Managerial / Business Simulation,Beat 'em up / Brawler,Martial Arts,Vehicular Combat Simulator,Rail Shooter,Tricks / Stunts,Japanese-style RPG (JRPG),Pinball,RPG elements,Action RPG,Roguelike,Paddle / Pong,Board Game,Game Show / Trivia / Quiz,Casino / Gambling,Wargame,Interactive Fiction / Text Adventure,Life / Social Simulation,Stealth,Graphic Adventure,Japanese-style Adventure,Music / Rhythm,Massively Multiplayer,Trading / Collectible Card,Tactical RPG,Dating Simulation,Hack and Slash,Chess,4X,Survival Horror,City Building / Construction Simulation,Mental training,Party Game,Mini-Games,Tactical Shooter,Quick Time Events (QTEs),Sandbox / Open World,Timed Input,Artillery,Word Construction,Interactive Book,Hidden object,Hunting,Tower Defense,Time Management,platform,country
,6.0,,,,,13.0,,,2.0,,,,2.0,,,,,,,,,5.0,2.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1292 Advanced Programmable Video System,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292 Advanced Programmable Video System,Japan
,5.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3DO,Germany
3.0,12.0,3.0,7.0,,2.0,4.0,,,5.0,4.0,1.0,,2.0,,3.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,3DO,Japan
,200.0,152.0,120.0,,22.0,249.0,17.0,11.0,13.0,31.0,93.0,14.0,11.0,24.0,5.0,7.0,,8.0,1.0,1.0,,12.0,20.0,5.0,4.0,2.0,11.0,,1.0,34.0,,,,,1.0,,,1.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,2.0,,,,,,,Amiga,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amiga,Japan
,16.0,31.0,16.0,,1.0,18.0,,,,8.0,4.0,2.0,3.0,3.0,1.0,,,3.0,1.0,,,,2.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,Amiga CD32,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amiga CD32,Japan
,60.0,30.0,25.0,1.0,3.0,78.0,,,,8.0,6.0,7.0,5.0,,1.0,4.0,,1.0,3.0,,1.0,4.0,3.0,1.0,2.0,,3.0,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Amstrad CPC,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amstrad CPC,Japan
