Foreign Language,Health / Nutrition,Ecology / Nature,Math / Logic,Music,Typing,Reading / Writing,Geography,Graphics / Art,History,Pre-school / Toddler,Science,Sociology,platform,country,Religion
,,,2.0,,,,,,,,,,1292 Advanced Programmable Video System,Germany,
,,,,,,,,,,,,,1292 Advanced Programmable Video System,Japan,
,,,,,,,,,,,,,3DO,Germany,
3.0,,,,,,,,1.0,,,,,3DO,Japan,
,,3.0,1.0,,,,1.0,1.0,3.0,2.0,1.0,,Amiga,Germany,
,,,,,,,,,,,,,Amiga,Japan,
,,,,,,,,,,,,,Amiga CD32,Germany,
,,,,,,,,,,,,,Amiga CD32,Japan,
,,,1.0,,,,1.0,1.0,2.0,2.0,1.0,,Amstrad CPC,Germany,
,,,,,,,,,,,,,Amstrad CPC,Japan,
,,,1.0,,,,,,,1.0,,,Android,Germany,
,,,,,,,,,,,,,Android,Japan,
,,,,,,,,,,,,,Apple II,Germany,
,,,,,,,,,,,,,Apple II,Japan,
,,,,,,,,,,,,,Arcade,Germany,
,,,,1.0,1.0,,,1.0,,,,,Arcade,Japan,
,,,,,,,,,,,,,Arcadia 2001,Germany,
,,,,,,,,,,,,,Arcadia 2001,Japan,
,,,,,,,,,,,,,Atari 2600,Germany,
,,,,,,,,,,,,,Atari 2600,Japan,
,,,3.0,,1.0,1.0,4.0,2.0,1.0,2.0,1.0,,Atari 8-bit,Germany,
,,,,,,,,,,,,,Atari 8-bit,Japan,
,,,,,,,,,1.0,1.0,,,Atari ST,Germany,
,,,,,,,,,,,,,Atari ST,Japan,
,,,,,,,,,,,,,BBC Micro,Germany,
,,,,,,,,,,,,,BBC Micro,Japan,
,,,,,,,,,,,,,BREW,Germany,
1.0,,,,,,,,,,,,,BREW,Japan,
,,,,,,,,,,,,,Blu-ray Disc Player,Germany,
,,,,,,,,,,,,,Blu-ray Disc Player,Japan,
,,,,,,,,,,,,,Browser,Germany,
,,,,,,,,,,,,,Browser,Japan,
,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,CD-i,Germany,
,,,,,,,,,,,,,CD-i,Japan,
,,,,,,,,,,,,,CDTV,Germany,
,,,,,,,,,,,,,CDTV,Japan,
,,,,,,,,,,,,,Casio Loopy,Germany,
,,,,,,,,,,,,,Casio Loopy,Japan,
,,,,,,,,,,,,,Casio PV-1000,Germany,
,,,,,,,,,,,,,Casio PV-1000,Japan,
,,,2.0,,,1.0,,3.0,,,,,Channel F,Germany,
,,,,,,,,,,,,,Channel F,Japan,
,,,1.0,,,,,,,,,,ColecoVision,Germany,
,,,,,,,,,,,,,ColecoVision,Japan,
,,,,,,,1.0,1.0,1.0,,1.0,,"Commodore 16, Plus/4",Germany,
,,,,,,,,,,,,,"Commodore 16, Plus/4",Japan,
,,,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,Commodore 64,Germany,
,,,,,,,,,,,,,Commodore 64,Japan,
,,,,,,,,,,,,,Commodore PET/CBM,Germany,
1.0,,,7.0,,,1.0,1.0,,,,1.0,,Commodore PET/CBM,Japan,
