Licensed,Regional Differences,platform,country
,,1292 Advanced Programmable Video System,Germany
,,1292 Advanced Programmable Video System,Japan
,,3DO,Germany
9.0,,3DO,Japan
117.0,5.0,Amiga,Germany
,,Amiga,Japan
12.0,,Amiga CD32,Germany
,,Amiga CD32,Japan
38.0,,Amstrad CPC,Germany
,,Amstrad CPC,Japan
2.0,,Android,Germany
6.0,,Android,Japan
,,Apple II,Germany
,,Apple II,Japan
,,Arcade,Germany
98.0,9.0,Arcade,Japan
,,Arcadia 2001,Germany
,,Arcadia 2001,Japan
3.0,1.0,Atari 2600,Germany
,,Atari 2600,Japan
4.0,,Atari 8-bit,Germany
,,Atari 8-bit,Japan
68.0,1.0,Atari ST,Germany
,,Atari ST,Japan
,,BBC Micro,Germany
,,BBC Micro,Japan
,,BREW,Germany
5.0,2.0,BREW,Japan
,,Blu-ray Disc Player,Germany
,,Blu-ray Disc Player,Japan
3.0,,Browser,Germany
,,Browser,Japan
13.0,,CD-i,Germany
,,CD-i,Japan
3.0,1.0,CDTV,Germany
,,CDTV,Japan
,,Casio Loopy,Germany
,,Casio Loopy,Japan
,,Casio PV-1000,Germany
,,Casio PV-1000,Japan
,,Channel F,Germany
,,Channel F,Japan
2.0,,ColecoVision,Germany
,,ColecoVision,Japan
1.0,,"Commodore 16, Plus/4",Germany
,,"Commodore 16, Plus/4",Japan
108.0,1.0,Commodore 64,Germany
,,Commodore 64,Japan
,,Commodore PET/CBM,Germany
1.0,,Commodore PET/CBM,Japan
337.0,26.0,DOS,Germany
,2.0,DOS,Japan
3.0,,DVD Player,Germany
,,DVD Player,Japan
1.0,,Dedicated console,Germany
,,Dedicated console,Japan
,,Dedicated handheld,Germany
5.0,,Dedicated handheld,Japan
1.0,,DoJa,Germany
8.0,3.0,DoJa,Japan
23.0,2.0,Dreamcast,Germany
42.0,2.0,Dreamcast,Japan
,,Electron,Germany
,,Electron,Japan
,,Epoch Cassette Vision,Germany
,,Epoch Cassette Vision,Japan
,,Epoch Game Pocket Computer,Germany
,,Epoch Game Pocket Computer,Japan
,,Epoch Super Cassette Vision,Germany
,,Epoch Super Cassette Vision,Japan
6.0,,ExEn,Germany
,,ExEn,Japan
,,FM Towns,Germany
26.0,3.0,FM Towns,Japan
,,FM-7,Germany
13.0,,FM-7,Japan
,,Fire OS,Germany
,,Fire OS,Japan
,,GIMINI,Germany
,,GIMINI,Japan
46.0,3.0,Game Boy,Germany
65.0,9.0,Game Boy,Japan
65.0,,Game Boy Advance,Germany
52.0,3.0,Game Boy Advance,Japan
64.0,2.0,Game Boy Color,Germany
22.0,2.0,Game Boy Color,Japan
37.0,1.0,Game Gear,Germany
45.0,,Game Gear,Japan
111.0,8.0,GameCube,Germany
54.0,2.0,GameCube,Japan
69.0,3.0,Genesis,Germany
97.0,6.0,Genesis,Japan
,,Ideal-Computer,Germany
,,Ideal-Computer,Japan
,,Intellivision,Germany
,,Intellivision,Japan
,,Interton Video 2000,Germany
,,Interton Video 2000,Japan
27.0,,J2ME,Germany
,,J2ME,Japan
3.0,,Jaguar,Germany
,,Jaguar,Japan
,,LaserActive,Germany
,,LaserActive,Japan
3.0,5.0,Linux,Germany
,,Linux,Japan
1.0,,Lynx,Germany
,,Lynx,Japan
13.0,,MSX,Germany
43.0,4.0,MSX,Japan
82.0,20.0,Macintosh,Germany
6.0,3.0,Macintosh,Japan
,,Microvision,Germany
,,Microvision,Japan
5.0,,N-Gage,Germany
,,N-Gage,Japan
16.0,3.0,NES,Germany
156.0,20.0,NES,Japan
,,Neo Geo,Germany
4.0,1.0,Neo Geo,Japan
,,Neo Geo CD,Germany
,,Neo Geo CD,Japan
,,Neo Geo Pocket,Germany
,,Neo Geo Pocket,Japan
,,Neo Geo Pocket Color,Germany
1.0,,Neo Geo Pocket Color,Japan
,2.0,New Nintendo 3DS,Germany
,3.0,New Nintendo 3DS,Japan
10.0,,Nintendo 3DS,Germany
26.0,4.0,Nintendo 3DS,Japan
40.0,5.0,Nintendo 64,Germany
27.0,1.0,Nintendo 64,Japan
49.0,,Nintendo DS,Germany
43.0,2.0,Nintendo DS,Japan
,,Nintendo DSi,Germany
,,Nintendo DSi,Japan
26.0,1.0,Nintendo Switch,Germany
24.0,,Nintendo Switch,Japan
,,Odyssey,Germany
,,Odyssey,Japan
,,Odyssey 2,Germany
,,Odyssey 2,Japan
,,PC Booter,Germany
,,PC Booter,Japan
,,PC-6001,Germany
1.0,,PC-6001,Japan
,,PC-8000,Germany
,,PC-8000,Japan
,,PC-88,Germany
26.0,1.0,PC-88,Japan
,,PC-98,Germany
86.0,5.0,PC-98,Japan
,,PC-FX,Germany
12.0,,PC-FX,Japan
2.0,1.0,PS Vita,Germany
50.0,4.0,PS Vita,Japan
46.0,3.0,PSP,Germany
68.0,6.0,PSP,Japan
,,Palm OS,Germany
,,Palm OS,Japan
,,Pippin,Germany
1.0,,Pippin,Japan
116.0,16.0,PlayStation,Germany
276.0,20.0,PlayStation,Japan
346.0,37.0,PlayStation 2,Germany
279.0,19.0,PlayStation 2,Japan
139.0,39.0,PlayStation 3,Germany
56.0,21.0,PlayStation 3,Japan
29.0,6.0,PlayStation 4,Germany
58.0,7.0,PlayStation 4,Japan
,,Playdia,Germany
1.0,,Playdia,Japan
,,Pokémon Mini,Germany
1.0,,Pokémon Mini,Japan
3.0,,SEGA 32X,Germany
5.0,,SEGA 32X,Japan
15.0,2.0,SEGA CD,Germany
23.0,2.0,SEGA CD,Japan
57.0,1.0,SEGA Master System,Germany
9.0,,SEGA Master System,Japan
,,SEGA Pico,Germany
3.0,,SEGA Pico,Japan
8.0,1.0,SEGA Saturn,Germany
82.0,5.0,SEGA Saturn,Japan
1.0,,SG-1000,Germany
4.0,,SG-1000,Japan
24.0,4.0,SNES,Germany
221.0,21.0,SNES,Japan
,,Sharp MZ-80B/2000/2500,Germany
1.0,,Sharp MZ-80B/2000/2500,Japan
,,Sharp MZ-80K/700/800/1500,Germany
,,Sharp MZ-80K/700/800/1500,Japan
,,Sharp X1,Germany
11.0,1.0,Sharp X1,Japan
,,Sharp X68000,Germany
16.0,4.0,Sharp X68000,Japan
,,Sharp Zaurus,Germany
,,Sharp Zaurus,Japan
,,Sinclair QL,Germany
,,Sinclair QL,Japan
,,Sord M5,Germany
,,Sord M5,Japan
,,Spectravideo,Germany
,,Spectravideo,Japan
,,SuperGrafx,Germany
1.0,,SuperGrafx,Japan
1.0,,Symbian,Germany
,,Symbian,Japan
,,Tele-Spiel ES-2201,Germany
,,Tele-Spiel ES-2201,Japan
,,Tomy Tutor,Germany
,,Tomy Tutor,Japan
,,TurboGrafx CD,Germany
57.0,3.0,TurboGrafx CD,Japan
,,TurboGrafx-16,Germany
16.0,1.0,TurboGrafx-16,Japan
2.0,,V.Smile,Germany
,,V.Smile,Japan
,,VIC-20,Germany
,,VIC-20,Japan
1.0,,Vectrex,Germany
,,Vectrex,Japan
,,Virtual Boy,Germany
1.0,,Virtual Boy,Japan
,,Wang 2200,Germany
,,Wang 2200,Japan
95.0,13.0,Wii,Germany
41.0,18.0,Wii,Japan
9.0,3.0,Wii U,Germany
9.0,7.0,Wii U,Japan
1142.0,321.0,Windows,Germany
44.0,29.0,Windows,Japan
29.0,,Windows 3.x,Germany
2.0,,Windows 3.x,Japan
,,Windows Mobile,Germany
,,Windows Mobile,Japan
,,Windows Phone,Germany
,,Windows Phone,Japan
,,WonderSwan,Germany
11.0,,WonderSwan,Japan
,,WonderSwan Color,Germany
9.0,,WonderSwan Color,Japan
,,XaviXPORT,Germany
,,XaviXPORT,Japan
145.0,18.0,Xbox,Germany
48.0,8.0,Xbox,Japan
128.0,32.0,Xbox 360,Germany
28.0,13.0,Xbox 360,Japan
