Point and Select,Menu Structures,Direct Control,Multiple Units/Characters Control,Text Parser,Voice Control,Motion Control,platform,country
1.0,,19.0,,4.0,,,1292 Advanced Programmable Video System,Germany
,,,,,,,1292 Advanced Programmable Video System,Japan
2.0,,,,,,,3DO,Germany
2.0,6.0,1.0,,,,,3DO,Japan
57.0,8.0,52.0,11.0,12.0,,,Amiga,Germany
,,,,,,,Amiga,Japan
6.0,,1.0,1.0,,,,Amiga CD32,Germany
,,,,,,,Amiga CD32,Japan
2.0,1.0,9.0,,2.0,,,Amstrad CPC,Germany
,,,,,,,Amstrad CPC,Japan
6.0,,2.0,1.0,,,1.0,Android,Germany
22.0,4.0,9.0,,,,,Android,Japan
,,,,,,,Apple II,Germany
,,1.0,,,,,Apple II,Japan
2.0,,30.0,1.0,,,,Arcade,Germany
12.0,,232.0,2.0,,,,Arcade,Japan
,,,,,,,Arcadia 2001,Germany
,,2.0,,,,,Arcadia 2001,Japan
,,2.0,,,,,Atari 2600,Germany
,,,,,,,Atari 2600,Japan
,,8.0,,4.0,,,Atari 8-bit,Germany
,,,,,,,Atari 8-bit,Japan
17.0,4.0,31.0,2.0,2.0,,,Atari ST,Germany
,,,,,,,Atari ST,Japan
,,,,,,,BBC Micro,Germany
,,,,,,,BBC Micro,Japan
,,,,,,,BREW,Germany
1.0,,1.0,,,,,BREW,Japan
,,,,,,,Blu-ray Disc Player,Germany
,,,,,,,Blu-ray Disc Player,Japan
2.0,,,,,,,Browser,Germany
1.0,,,,,,,Browser,Japan
1.0,,3.0,,,,,CD-i,Germany
,,,,,,,CD-i,Japan
3.0,,,,,,,CDTV,Germany
,,,,,,,CDTV,Japan
,,,,,,,Casio Loopy,Germany
,,,,,,,Casio Loopy,Japan
,,,,,,,Casio PV-1000,Germany
,,,,,,,Casio PV-1000,Japan
7.0,8.0,31.0,1.0,1.0,,,Channel F,Germany
,,1.0,,,,,Channel F,Japan
,,,,,,,ColecoVision,Germany
,,,,,,,ColecoVision,Japan
1.0,,8.0,,3.0,,,"Commodore 16, Plus/4",Germany
,,,,,,,"Commodore 16, Plus/4",Japan
9.0,7.0,28.0,2.0,7.0,,,Commodore 64,Germany
,,1.0,,,,,Commodore 64,Japan
,,,,1.0,,,Commodore PET/CBM,Germany
1.0,1.0,33.0,,33.0,,,Commodore PET/CBM,Japan
170.0,13.0,107.0,52.0,10.0,,,DOS,Germany
3.0,,2.0,,,,,DOS,Japan
,,,,,,,DVD Player,Germany
,,,,,,,DVD Player,Japan
1.0,,130.0,,,,,Dedicated console,Germany
2.0,,86.0,,,,,Dedicated console,Japan
,,3.0,,,,,Dedicated handheld,Germany
,,37.0,2.0,,,,Dedicated handheld,Japan
,,1.0,,,,,DoJa,Germany
2.0,,7.0,,,,,DoJa,Japan
1.0,,8.0,3.0,,,,Dreamcast,Germany
4.0,,18.0,2.0,,,,Dreamcast,Japan
,,,,,,,Electron,Germany
,,,,,,,Electron,Japan
,,,,,,,Epoch Cassette Vision,Germany
,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,Epoch Game Pocket Computer,Germany
,,1.0,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,Epoch Super Cassette Vision,Germany
,,,,,,,Epoch Super Cassette Vision,Japan
,,4.0,1.0,,,,ExEn,Germany
,,,,,,,ExEn,Japan
,,,,,,,FM Towns,Germany
19.0,4.0,15.0,5.0,,,,FM Towns,Japan
,,,,,,,FM-7,Germany
1.0,2.0,23.0,2.0,24.0,,,FM-7,Japan
,,,,,,,Fire OS,Germany
,,,,,,,Fire OS,Japan
,,13.0,,,,,GIMINI,Germany
,,7.0,,,,,GIMINI,Japan
3.0,,6.0,4.0,,,,Game Boy,Germany
11.0,,41.0,1.0,,,,Game Boy,Japan
,2.0,12.0,1.0,,,,Game Boy Advance,Germany
3.0,4.0,27.0,,,,,Game Boy Advance,Japan
,,7.0,1.0,,,,Game Boy Color,Germany
4.0,,10.0,,,,,Game Boy Color,Japan
1.0,,8.0,,,,,Game Gear,Germany
1.0,,16.0,1.0,,,,Game Gear,Japan
2.0,,44.0,5.0,,1.0,1.0,GameCube,Germany
1.0,,25.0,,,,1.0,GameCube,Japan
3.0,1.0,13.0,2.0,,,,Genesis,Germany
3.0,7.0,23.0,4.0,,,,Genesis,Japan
,,5.0,,,,,Ideal-Computer,Germany
,,,,,,,Ideal-Computer,Japan
,,,,,,,Intellivision,Germany
,,,,,,,Intellivision,Japan
,,5.0,,,,,Interton Video 2000,Germany
,,,,,,,Interton Video 2000,Japan
1.0,,4.0,1.0,,,,J2ME,Germany
1.0,,1.0,,,,,J2ME,Japan
,,1.0,,,,,Jaguar,Germany
,,,,,,,Jaguar,Japan
,,,,,,,LaserActive,Germany
,,4.0,,,,,LaserActive,Japan
13.0,1.0,8.0,4.0,,,,Linux,Germany
,,,,,,,Linux,Japan
,,2.0,,,,,Lynx,Germany
,,,,,,,Lynx,Japan
1.0,,11.0,,,,,MSX,Germany
1.0,5.0,45.0,2.0,,,,MSX,Japan
80.0,4.0,39.0,35.0,,,,Macintosh,Germany
16.0,7.0,6.0,1.0,,,,Macintosh,Japan
,,,,,,,Microvision,Germany
,,,,,,,Microvision,Japan
,,9.0,1.0,,,,N-Gage,Germany
,,,,,,,N-Gage,Japan
,,5.0,,,,,NES,Germany
4.0,15.0,57.0,4.0,,,,NES,Japan
,,,,,,,Neo Geo,Germany
,,7.0,,,,,Neo Geo,Japan
,,,,,,,Neo Geo CD,Germany
,,3.0,,,,,Neo Geo CD,Japan
,,,,,,,Neo Geo Pocket,Germany
,,,,,,,Neo Geo Pocket,Japan
,,,,,,,Neo Geo Pocket Color,Germany
,,2.0,,,,,Neo Geo Pocket Color,Japan
1.0,,3.0,,,,,New Nintendo 3DS,Germany
,,3.0,,,,,New Nintendo 3DS,Japan
12.0,1.0,14.0,,,,,Nintendo 3DS,Germany
29.0,10.0,59.0,5.0,,,1.0,Nintendo 3DS,Japan
1.0,,33.0,3.0,,,,Nintendo 64,Germany
1.0,1.0,29.0,1.0,1.0,,,Nintendo 64,Japan
18.0,,5.0,4.0,,,,Nintendo DS,Germany
24.0,1.0,32.0,1.0,,,,Nintendo DS,Japan
,,,,,,,Nintendo DSi,Germany
1.0,,3.0,,,,1.0,Nintendo DSi,Japan
49.0,4.0,116.0,8.0,,2.0,4.0,Nintendo Switch,Germany
51.0,5.0,164.0,14.0,,,6.0,Nintendo Switch,Japan
,,1.0,,,,,Odyssey,Germany
,,,,,,,Odyssey,Japan
,,7.0,3.0,1.0,,,Odyssey 2,Germany
,,,,,,,Odyssey 2,Japan
,,,,,,,PC Booter,Germany
,,,,,,,PC Booter,Japan
,,,,,,,PC-6001,Germany
,,9.0,,3.0,,,PC-6001,Japan
,,,,,,,PC-8000,Germany
,,2.0,,1.0,,,PC-8000,Japan
,,,,,,,PC-88,Germany
3.0,2.0,29.0,2.0,20.0,,,PC-88,Japan
,,,,,,,PC-98,Germany
28.0,7.0,36.0,11.0,16.0,,,PC-98,Japan
,,,,,,,PC-FX,Germany
,,,,,,,PC-FX,Japan
4.0,1.0,9.0,1.0,,,,PS Vita,Germany
