Adult,Comedy,War,Horror,Crime,Detective / Mystery,Spy / Espionage,Romance,Thriller,Survival,Healthcare,platform,country
,,,,,,,,,,,1292 Advanced Programmable Video System,Germany
,,,,,,,,,,,1292 Advanced Programmable Video System,Japan
,,2.0,1.0,,,,,,,,3DO,Germany
4.0,,,6.0,1.0,4.0,,,,,,3DO,Japan
21.0,18.0,10.0,17.0,11.0,25.0,8.0,1.0,,1.0,1.0,Amiga,Germany
,,,,,,,,,,,Amiga,Japan
,1.0,,,1.0,1.0,,,,,,Amiga CD32,Germany
,,,,,,,,,,,Amiga CD32,Japan
,,,2.0,1.0,3.0,1.0,,,,,Amstrad CPC,Germany
,,,,,,,,,,,Amstrad CPC,Japan
,1.0,,,,1.0,,,,,,Android,Germany
6.0,2.0,1.0,1.0,3.0,11.0,1.0,5.0,2.0,1.0,,Android,Japan
,,,,,,,,,,,Apple II,Germany
,,1.0,,,,,,,,,Apple II,Japan
,,1.0,,,,,,,,,Arcade,Germany
28.0,4.0,19.0,30.0,16.0,,5.0,,,1.0,,Arcade,Japan
,,,,,,,,,,,Arcadia 2001,Germany
,,,,,,,,,,,Arcadia 2001,Japan
,,,1.0,1.0,,,,,,,Atari 2600,Germany
,,,,,,,,,,,Atari 2600,Japan
,,1.0,1.0,,,,,,,,Atari 8-bit,Germany
,,,,,,,,,,,Atari 8-bit,Japan
7.0,3.0,2.0,8.0,5.0,17.0,7.0,,1.0,3.0,,Atari ST,Germany
,,,,,,,,,,,Atari ST,Japan
,,,,,,,,,,,BBC Micro,Germany
,,,,,,,,,,,BBC Micro,Japan
,,,,,,,,,,,BREW,Germany
1.0,,,1.0,,,,,,,,BREW,Japan
,,,,,,,,,,,Blu-ray Disc Player,Germany
1.0,,,,,,,,,,,Blu-ray Disc Player,Japan
,,1.0,1.0,,,,,,,,Browser,Germany
1.0,,,,,,,,,,,Browser,Japan
1.0,1.0,,2.0,,3.0,,,,,,CD-i,Germany
,,,,,,,,,,,CD-i,Japan
,,,,,1.0,,,,,,CDTV,Germany
,,,,,,,,,,,CDTV,Japan
,,,,,,,,,,,Casio Loopy,Germany
,,,,,,,,,,,Casio Loopy,Japan
,,,,,,,,,,,Casio PV-1000,Germany
,,,,,,,,,,,Casio PV-1000,Japan
,,,,,,,,,,,Channel F,Germany
,,,,,,,,,,,Channel F,Japan
,,,,,,,,,,,ColecoVision,Germany
,,,,,,,,,,,ColecoVision,Japan
1.0,,,1.0,1.0,,,,,,,"Commodore 16, Plus/4",Germany
,,,,,,,,,,,"Commodore 16, Plus/4",Japan
4.0,2.0,6.0,10.0,3.0,5.0,4.0,,,,,Commodore 64,Germany
,,,,,,,,,,,Commodore 64,Japan
,,,,,,,,,,,Commodore PET/CBM,Germany
,1.0,,1.0,,,,,,1.0,,Commodore PET/CBM,Japan
31.0,59.0,47.0,81.0,14.0,103.0,12.0,4.0,,2.0,3.0,DOS,Germany
4.0,1.0,,2.0,,1.0,1.0,,,,,DOS,Japan
,,,,,,,,,,,DVD Player,Germany
4.0,,,,,,,,,,,DVD Player,Japan
,,,,,,,,,,,Dedicated console,Germany
,,,,,,,,,,,Dedicated console,Japan
,,,,,,,,,,,Dedicated handheld,Germany
,,,,,,,,,,,Dedicated handheld,Japan
,,,,,,,,,,,DoJa,Germany
1.0,5.0,1.0,2.0,,,,,,,,DoJa,Japan
,1.0,1.0,5.0,,2.0,,,,,,Dreamcast,Germany
3.0,1.0,,13.0,,11.0,3.0,7.0,1.0,,1.0,Dreamcast,Japan
,,,,,,,,,,,Electron,Germany
,,,,,,,,,,,Electron,Japan
,,,,,,,,,,,Epoch Cassette Vision,Germany
,,,,,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,,,,Epoch Game Pocket Computer,Germany
,,,,,,,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,,,,Epoch Super Cassette Vision,Germany
,,,,,,,,,,,Epoch Super Cassette Vision,Japan
1.0,1.0,1.0,,,1.0,,,,,,ExEn,Germany
,,,,,,,,,,,ExEn,Japan
,,,,,,,,,,,FM Towns,Germany
180.0,3.0,2.0,16.0,1.0,29.0,,,,,2.0,FM Towns,Japan
,,,,,,,,,,,FM-7,Germany
20.0,1.0,2.0,3.0,,12.0,2.0,1.0,,,,FM-7,Japan
,,,,,,,,,,,Fire OS,Germany
,,,,,,,,,,,Fire OS,Japan
,,,,,,,,,,,GIMINI,Germany
,,,,,,,,,,,GIMINI,Japan
,1.0,,2.0,,,,,,,,Game Boy,Germany
,1.0,,6.0,2.0,2.0,1.0,,,,1.0,Game Boy,Japan
,3.0,1.0,1.0,,1.0,5.0,,,,,Game Boy Advance,Germany
,2.0,,8.0,,10.0,1.0,,,,2.0,Game Boy Advance,Japan
,,,2.0,1.0,3.0,,,,,,Game Boy Color,Germany
,1.0,,2.0,1.0,4.0,1.0,,,,,Game Boy Color,Japan
,,,1.0,,,,,,,,Game Gear,Germany
,,,2.0,2.0,,,,,,,Game Gear,Japan
,2.0,5.0,5.0,2.0,4.0,8.0,,,,,GameCube,Germany
,,1.0,7.0,,2.0,1.0,,,,1.0,GameCube,Japan
,2.0,2.0,6.0,1.0,,,,,,,Genesis,Germany
2.0,,4.0,6.0,1.0,1.0,,,,,,Genesis,Japan
,,,,,,,,,,,Ideal-Computer,Germany
,,,,,,,,,,,Ideal-Computer,Japan
,,,,,,,,,,,Intellivision,Germany
,,,,,,,,,,,Intellivision,Japan
,,,,,,,,,,,Interton Video 2000,Germany
,,,,,,,,,,,Interton Video 2000,Japan
,1.0,1.0,,,1.0,,,,,,J2ME,Germany
1.0,,,,,,2.0,,,,,J2ME,Japan
,,,1.0,,,,,,,,Jaguar,Germany
,,,,,,,,,,,Jaguar,Japan
,,,,,,,,,,,LaserActive,Germany
9.0,,,,,4.0,,,,,,LaserActive,Japan
,2.0,2.0,1.0,1.0,3.0,1.0,,,,,Linux,Germany
,,,,,,,,,,,Linux,Japan
,,,,,,,,,,,Lynx,Germany
,,,,,,,,,,,Lynx,Japan
,,2.0,2.0,1.0,1.0,2.0,,,,,MSX,Germany
73.0,3.0,5.0,7.0,1.0,30.0,3.0,1.0,,,,MSX,Japan
1.0,14.0,20.0,9.0,3.0,18.0,7.0,1.0,,1.0,,Macintosh,Germany
3.0,2.0,,6.0,,4.0,2.0,2.0,,,,Macintosh,Japan
,,,,,,,,,,,Microvision,Germany
,,,,,,,,,,,Microvision,Japan
,1.0,1.0,1.0,,,1.0,,,,,N-Gage,Germany
,,,,,,,,,,,N-Gage,Japan
,,,2.0,,,,,,,1.0,NES,Germany
7.0,5.0,4.0,13.0,7.0,23.0,10.0,1.0,,,1.0,NES,Japan
,,,,,,,,,,,Neo Geo,Germany
,,1.0,,,,,,,,,Neo Geo,Japan
,,,,,,,,,,,Neo Geo CD,Germany
1.0,,1.0,,,,,,,,,Neo Geo CD,Japan
,,,,,,,,,,,Neo Geo Pocket,Germany
,,,,,,,,,,,Neo Geo Pocket,Japan
,,1.0,,,,,,,,,Neo Geo Pocket Color,Germany
1.0,,1.0,1.0,,,,,,,,Neo Geo Pocket Color,Japan
,1.0,,,,,,,,,,New Nintendo 3DS,Germany
,,,1.0,,,,,,1.0,,New Nintendo 3DS,Japan
,,,1.0,1.0,3.0,2.0,,1.0,,,Nintendo 3DS,Germany
,3.0,5.0,11.0,5.0,16.0,3.0,1.0,1.0,1.0,1.0,Nintendo 3DS,Japan
1.0,4.0,1.0,4.0,,,2.0,,,,,Nintendo 64,Germany
,,,3.0,,,,,,,,Nintendo 64,Japan
,,,2.0,2.0,18.0,5.0,,,,,Nintendo DS,Germany
,3.0,3.0,7.0,4.0,43.0,1.0,,,,5.0,Nintendo DS,Japan
