Real-Time,Turn-based,Persistent,Meditative / Zen,platform,country
,3.0,,,1292 Advanced Programmable Video System,Germany
,,,,1292 Advanced Programmable Video System,Japan
1.0,1.0,,,3DO,Germany
2.0,5.0,,3.0,3DO,Japan
78.0,65.0,,1.0,Amiga,Germany
,,,,Amiga,Japan
6.0,1.0,,,Amiga CD32,Germany
,,,,Amiga CD32,Japan
4.0,7.0,,,Amstrad CPC,Germany
,,,,Amstrad CPC,Japan
1.0,3.0,2.0,2.0,Android,Germany
3.0,18.0,2.0,5.0,Android,Japan
,,,,Apple II,Germany
2.0,,,,Apple II,Japan
,2.0,,,Arcade,Germany
92.0,13.0,3.0,1.0,Arcade,Japan
,,,,Arcadia 2001,Germany
,,,,Arcadia 2001,Japan
,,,,Atari 2600,Germany
,,,,Atari 2600,Japan
7.0,2.0,,,Atari 8-bit,Germany
,,,,Atari 8-bit,Japan
43.0,42.0,,1.0,Atari ST,Germany
,,,,Atari ST,Japan
,,,,BBC Micro,Germany
,,,,BBC Micro,Japan
,,,,BREW,Germany
3.0,6.0,,,BREW,Japan
,,,,Blu-ray Disc Player,Germany
,,,,Blu-ray Disc Player,Japan
4.0,2.0,3.0,,Browser,Germany
,1.0,,1.0,Browser,Japan
1.0,4.0,,,CD-i,Germany
,,,,CD-i,Japan
1.0,,,,CDTV,Germany
,,,,CDTV,Japan
,,,,Casio Loopy,Germany
,,,,Casio Loopy,Japan
,,,,Casio PV-1000,Germany
,,,,Casio PV-1000,Japan
,18.0,,,Channel F,Germany
,,,,Channel F,Japan
1.0,,,,ColecoVision,Germany
,,,,ColecoVision,Japan
,1.0,,1.0,"Commodore 16, Plus/4",Germany
,,,,"Commodore 16, Plus/4",Japan
28.0,35.0,,,Commodore 64,Germany
,,,,Commodore 64,Japan
,2.0,,,Commodore PET/CBM,Germany
1.0,35.0,,,Commodore PET/CBM,Japan
251.0,174.0,,2.0,DOS,Germany
3.0,3.0,,,DOS,Japan
,1.0,,,DVD Player,Germany
,,,,DVD Player,Japan
,,,,Dedicated console,Germany
1.0,1.0,,,Dedicated console,Japan
1.0,,,,Dedicated handheld,Germany
6.0,,,,Dedicated handheld,Japan
,,,,DoJa,Germany
7.0,8.0,,,DoJa,Japan
4.0,5.0,,,Dreamcast,Germany
15.0,25.0,2.0,,Dreamcast,Japan
,,,,Electron,Germany
,,,,Electron,Japan
,,,,Epoch Cassette Vision,Germany
,,,,Epoch Cassette Vision,Japan
,,,,Epoch Game Pocket Computer,Germany
,,,,Epoch Game Pocket Computer,Japan
,,,,Epoch Super Cassette Vision,Germany
,,,,Epoch Super Cassette Vision,Japan
,1.0,,,ExEn,Germany
,,,,ExEn,Japan
,,,,FM Towns,Germany
28.0,115.0,2.0,6.0,FM Towns,Japan
,,,,FM-7,Germany
16.0,43.0,,1.0,FM-7,Japan
,1.0,,,Fire OS,Germany
,,,,Fire OS,Japan
,,,,GIMINI,Germany
,,,,GIMINI,Japan
4.0,2.0,,,Game Boy,Germany
19.0,34.0,1.0,,Game Boy,Japan
8.0,9.0,1.0,,Game Boy Advance,Germany
37.0,51.0,,,Game Boy Advance,Japan
2.0,7.0,,,Game Boy Color,Germany
7.0,36.0,,1.0,Game Boy Color,Japan
5.0,,,,Game Gear,Germany
17.0,18.0,,,Game Gear,Japan
6.0,10.0,1.0,2.0,GameCube,Germany
10.0,15.0,2.0,2.0,GameCube,Japan
8.0,6.0,,,Genesis,Germany
27.0,38.0,,,Genesis,Japan
,,,,Ideal-Computer,Germany
,,,,Ideal-Computer,Japan
,,,,Intellivision,Germany
,,,,Intellivision,Japan
,,,,Interton Video 2000,Germany
,,,,Interton Video 2000,Japan
5.0,5.0,,,J2ME,Germany
1.0,5.0,,,J2ME,Japan
,,,,Jaguar,Germany
,,,,Jaguar,Japan
,,,,LaserActive,Germany
2.0,4.0,,,LaserActive,Japan
10.0,8.0,3.0,,Linux,Germany
,,,,Linux,Japan
,,,,Lynx,Germany
,,,,Lynx,Japan
2.0,,,,MSX,Germany
30.0,98.0,1.0,3.0,MSX,Japan
72.0,22.0,3.0,2.0,Macintosh,Germany
8.0,5.0,1.0,12.0,Macintosh,Japan
,,,,Microvision,Germany
,,,,Microvision,Japan
4.0,3.0,,,N-Gage,Germany
,,,,N-Gage,Japan
1.0,,,,NES,Germany
31.0,99.0,,1.0,NES,Japan
,,,,Neo Geo,Germany
3.0,,,,Neo Geo,Japan
,,,,Neo Geo CD,Germany
3.0,1.0,,,Neo Geo CD,Japan
,,,,Neo Geo Pocket,Germany
1.0,1.0,,,Neo Geo Pocket,Japan
,,,,Neo Geo Pocket Color,Germany
2.0,6.0,,,Neo Geo Pocket Color,Japan
,1.0,,,New Nintendo 3DS,Germany
,6.0,,,New Nintendo 3DS,Japan
