Shooter,Arcade,Japanese-style RPG (JRPG),Roguelike,Managerial / Business Simulation,Tricks / Stunts,Platform,Falling Block Puzzle,Tile Matching Puzzle,Paddle / Pong,Vehicle Simulator,Music / Rhythm,Puzzle elements,Metroidvania,Life / Social Simulation,Fighting,Martial Arts,Survival Horror,Pinball,Mental training,Tactical RPG,Casino / Gambling,Cards / Tiles,Board Game,Chess,RPG elements,Stealth,Mini-Games,Party Game,Beat 'em up / Brawler,Hack and Slash,Action RPG,Visual Novel,Trading / Collectible Card,Japanese-style Adventure,Interactive Fiction / Text Adventure,Wargame,Massively Multiplayer,Dating Simulation,City Building / Construction Simulation,Vehicular Combat Simulator,Quick Time Events (QTEs),4X,Tactical Shooter,Graphic Adventure,Sandbox / Open World,Rail Shooter,Artillery,Game Show / Trivia / Quiz,Word Construction,Timed Input,Hidden object,Interactive Book,Hunting,Tower Defense,Time Management,platform,country
6.0,13.0,,,,,,,,5.0,,,,,,,2.0,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1292 Advanced Programmable Video System,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292 Advanced Programmable Video System,Japan
5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,3DO,Germany
12.0,4.0,,,1.0,,3.0,,,,2.0,,7.0,,,4.0,2.0,2.0,1.0,,,,5.0,,1.0,,,,,,,,3.0,,1.0,1.0,,,,,,,,,,,3.0,,,,,,,,,,3DO,Japan
200.0,249.0,,,93.0,7.0,152.0,11.0,17.0,12.0,22.0,,120.0,,,31.0,11.0,1.0,8.0,2.0,1.0,4.0,13.0,20.0,1.0,1.0,1.0,1.0,1.0,14.0,,1.0,,,,11.0,2.0,,,3.0,24.0,,2.0,,34.0,,5.0,2.0,5.0,,,,,,,,Amiga,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amiga,Japan
16.0,18.0,,,4.0,,31.0,,,,1.0,,16.0,,,8.0,3.0,,3.0,,,,,2.0,1.0,1.0,,,,2.0,,,,,,,,,,1.0,3.0,,,,1.0,,1.0,,,,,,,,,,Amiga CD32,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amiga CD32,Japan
60.0,78.0,,1.0,6.0,4.0,30.0,,,4.0,3.0,,25.0,1.0,,8.0,5.0,,1.0,1.0,,2.0,,3.0,,3.0,,,,7.0,,,,,,3.0,,,,,,,,,4.0,,1.0,,1.0,,,,,,,,Amstrad CPC,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amstrad CPC,Japan
