Bowling,Sailing / Boating,Snowboarding / Skiing,Horse / Derby,Boxing,Fishing,Golf,Basketball,Pool / Snooker,Football (European) / Soccer,Ping Pong / Table Tennis,Olympiad / Mixed Sports,Dodgeball,Volleyball,Baseball,Rugby,Wrestling,Football (American),Racquetball / Squash,Darts / Target Shooting,Tennis,Hockey,Surfing,Skateboarding,Athletics,Wakeboarding,Paintball,platform,country,Cricket
,,,1.0,2.0,,,3.0,,,3.0,,,3.0,,,,,,,3.0,3.0,,,,,,1292 Advanced Programmable Video System,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1292 Advanced Programmable Video System,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3DO,Germany,
,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,3DO,Japan,
2.0,,3.0,1.0,4.0,,6.0,,6.0,30.0,1.0,5.0,,1.0,,,3.0,1.0,,,10.0,4.0,2.0,2.0,,,,Amiga,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Amiga,Japan,
1.0,,,,1.0,,2.0,,1.0,6.0,,1.0,,,,,,,,,,,1.0,,,,,Amiga CD32,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Amiga CD32,Japan,
,,,,1.0,,1.0,,1.0,3.0,,3.0,,,1.0,1.0,1.0,,,,1.0,,,3.0,,,,Amstrad CPC,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Amstrad CPC,Japan,
,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,Android,Germany,
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Android,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple II,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple II,Japan,
,,,1.0,,,,1.0,1.0,3.0,1.0,,,1.0,,,,,,,,1.0,,,,,,Arcade,Germany,
3.0,1.0,5.0,3.0,11.0,5.0,5.0,7.0,3.0,22.0,2.0,6.0,2.0,4.0,8.0,,11.0,5.0,,,8.0,4.0,,1.0,1.0,,,Arcade,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcadia 2001,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcadia 2001,Japan,
,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,Atari 2600,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Atari 2600,Japan,
,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,Atari 8-bit,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Atari 8-bit,Japan,
1.0,1.0,,2.0,2.0,,4.0,,3.0,20.0,,3.0,,1.0,,,1.0,1.0,,,4.0,1.0,1.0,2.0,,,,Atari ST,Germany,
